number,start,end,viewSwitch,nextView,itemSwitch,nextItem,speakerSwitch,nextSpeaker
0,0,5.4,FALSE,5.4,FALSE,54,FALSE,68
1,5.4,24.5,TRUE,253,FALSE,,FALSE,
2,54,68,FALSE,,TRUE,221.5,FALSE,
3,68,221.5,FALSE,,FALSE,,TRUE,221.5
4,221.5,222.5,FALSE,,TRUE,222.5,TRUE,233
5,222.5,233,FALSE,,TRUE,300,FALSE,
6,233,243,FALSE,,FALSE,,TRUE,243
7,243,253,FALSE,,FALSE,,TRUE,267
8,253,267,TRUE,300,FALSE,,FALSE,
9,267,300,FALSE,,FALSE,,TRUE,300
10,300,300.5,TRUE,356,TRUE,300.5,TRUE,308
11,300.5,308,FALSE,,TRUE,308,FALSE,
12,308,355,FALSE,,TRUE,355,TRUE,355
13,355,356,FALSE,,TRUE,376,TRUE,356
14,356,376,TRUE,376,FALSE,,TRUE,404
15,376,385,TRUE,385,TRUE,400,FALSE,
16,385,400,TRUE,400,FALSE,,FALSE,
17,400,402,TRUE,403.5,TRUE,402,FALSE,
18,402,403,FALSE,,TRUE,403,FALSE,
19,403,403.5,FALSE,,TRUE,487,FALSE,
20,403.5,404,TRUE,475,FALSE,,FALSE,
21,404,475,FALSE,,FALSE,,TRUE,475
22,475,487,TRUE,500,FALSE,,TRUE,592
23,487,500,FALSE,,TRUE,Last Change,FALSE,
24,500,592,TRUE,1243,,,TRUE,637
25,637,707.5,FALSE,,,,TRUE,707.5
26,707.5,754,FALSE,,,,TRUE,754
27,754,777.5,FALSE,,,,TRUE,777.5
28,777.5,915,FALSE,,,,TRUE,915
29,915,942,FALSE,,,,TRUE,942
30,942,955,FALSE,,,,TRUE,955
31,955,985,FALSE,,,,TRUE,985
32,985,1185,FALSE,,,,TRUE,1185
33,1185,1242,FALSE,,,,TRUE,1242
34,1242,1243,FALSE,,,,TRUE,1243
35,1243,,TRUE,Last one,,,TRUE,Last One
36,,,,,,,,
37,,,,,,,,
38,,,,,,,,
39,,,,,,,,
40,,,,,,,,
41,,,,,,,,
42,,,,,,,,
43,,,,,,,,
44,,,,,,,,
45,,,,,,,,
46,,,,,,,,
47,,,,,,,,
48,,,,,,,,
49,,,,,,,,
50,,,,,,,,
51,,,,,,,,
52,,,,,,,,
53,,,,,,,,
54,,,,,,,,
55,,,,,,,,
56,,,,,,,,
57,,,,,,,,
58,,,,,,,,
59,,,,,,,,
60,,,,,,,,
61,,,,,,,,
62,,,,,,,,
63,,,,,,,,
64,,,,,,,,
65,,,,,,,,
66,,,,,,,,
67,,,,,,,,
68,,,,,,,,
69,,,,,,,,
70,,,,,,,,
71,,,,,,,,
72,,,,,,,,
73,,,,,,,,
74,,,,,,,,
75,,,,,,,,
76,,,,,,,,
77,,,,,,,,
78,,,,,,,,
79,,,,,,,,
80,,,,,,,,
81,,,,,,,,
82,,,,,,,,
83,,,,,,,,
84,,,,,,,,
85,,,,,,,,
86,,,,,,,,
87,,,,,,,,
88,,,,,,,,
89,,,,,,,,
90,,,,,,,,
91,,,,,,,,
92,,,,,,,,
93,,,,,,,,
94,,,,,,,,
95,,,,,,,,
96,,,,,,,,
97,,,,,,,,
98,,,,,,,,
99,,,,,,,,
100,,,,,,,,
101,,,,,,,,
102,,,,,,,,
103,,,,,,,,
104,,,,,,,,
105,,,,,,,,
106,,,,,,,,
107,,,,,,,,
108,,,,,,,,
109,,,,,,,,
110,,,,,,,,
111,,,,,,,,
112,,,,,,,,
113,,,,,,,,
114,,,,,,,,
115,,,,,,,,
116,,,,,,,,
117,,,,,,,,
118,,,,,,,,
119,,,,,,,,
120,,,,,,,,
121,,,,,,,,
122,,,,,,,,
123,,,,,,,,
124,,,,,,,,
125,,,,,,,,
126,,,,,,,,
127,,,,,,,,
128,,,,,,,,
129,,,,,,,,
130,,,,,,,,
131,,,,,,,,
132,,,,,,,,
133,,,,,,,,
134,,,,,,,,
135,,,,,,,,
136,,,,,,,,
137,,,,,,,,
138,,,,,,,,
139,,,,,,,,
140,,,,,,,,
141,,,,,,,,
142,,,,,,,,
143,,,,,,,,
144,,,,,,,,
145,,,,,,,,
146,,,,,,,,
147,,,,,,,,
148,,,,,,,,
149,,,,,,,,
150,,,,,,,,
151,,,,,,,,
152,,,,,,,,
153,,,,,,,,
154,,,,,,,,
155,,,,,,,,
156,,,,,,,,
157,,,,,,,,
158,,,,,,,,
159,,,,,,,,
160,,,,,,,,
161,,,,,,,,
